id,text,clause_type,risk_level
CL01252,"Mutual Non-Disclosure Agreement This Mutual Non-Disclosure Agreement (this “Agreement”) is made and entered into on , 20 , (the “Effective Date”) by and between [entity] (“COMPANY X”) having offices located at [address], and [entity] (“COMPANY Y”) having offices located at [address]. COMPANY X and COMPANY Y may be referred to individually as a “Party,” or collectively as the “Parties.” Each Party may disclose information (and in that case be a “Discloser”) and receive information (and in that case be a “Recipient”) under this Agreement.",Confidentiality,Low
CL01253,"13 CONFIDENTIAL 13. INDEMNITY a) Client will indemnify, defend and hold harmless Excite, its affiliates, officers, directors, employees, consultants and agents from any and all third party claims, liability, damages and/or costs (including, but not limited to, attorneys fees) arising from:",Indemnification,Medium
CL01254,"Neither party may <omitted> assign or otherwise transfer this Agreement to any person or entity without the other's written consent, such consent not to be unreasonably withheld or delayed; provided that the withholding of consent of assignment to a competitor of the other party shall be deemed reasonable. (Pages 6-7) Any assignment in derogation of the foregoing shall be null and void. (Page 7)",Assignment & Change of Control,Medium
CL01255,"2. Confidential Information. (a) Each of Stockholders severally agrees that such Stockholder shall not, at any time following the effectiveness of the Merger, print, publish, divulge or communicate to any person, firm, corporation or other business organization or use for his or their own account any business contacts, customers, suppliers, technology, product designs and specifications, know-how, trade secrets, marketing techniques, promotional materials or other secret or confidential information relating to the Business or any other businesses then being engaged in by AUGI or any of its subsidiaries, or any secret or confidential information relating to the affairs, dealings and concerns of the Company, AUGI or any of the subsidiaries of AUGI (collectively, the ""Confidential Information"") which the Stockholder has received or obtained while an employee or member of the Board of Directors of AUGI or the Company (whether or not developed, devised, or otherwise created in whole or in part by the efforts of the Stockholder). The term ""Confidential Information"" does not include information which information and its relevance in the particular instance (A) is a matter of common knowledge or public record, (B) is or becomes generally available to the public other than as a result of disclosure by the Stockholder, (C) which information and its relevance is generally known in Business, (D) the Stockholder can demonstrate that such information and its relevance in the applicable instance, was already known to the recipient thereof other than by reason of any breach of any obligation of the Stockholder under this Agreement or any other confidentiality or non-disclosure agreement, or (E) the information is required to be disclosed by law or pursuant to court order or subpoeona.",Confidentiality,Low
CL01256,"dealings with, suppliers, customers and others, and the other party's structure, organization, commercial and business affairs and financial condition and the other party's trade secrets (collectively ""Confidential Information""). Each of XC and AJR acknowledges that the Confidential Information it obtains from the other party hereto constitutes the trade secrets of the disclosing party. AJR and XC each agrees that it shall keep the Confidential Information it receives from the other party hereto strictly confidential and shall not disclose any of the Confidential Information to any other person or entity, or take or use any of the Confidential Information for its own purposes, except as may be required in connection with the performance of its obligations under this Agreement or the enforcement of this Agreement. Notwithstanding the foregoing, a party may disclose the Confidential Information of the other party hereto: (i) if such Confidential Information becomes generally known or available to the public, other than due to a breach of this Agreement by the party receiving the Confidential Information hereunder; (ii) in connection with the enforcement of this Agreement; (iii) pursuant to applicable law, regulation or subpoena; or (iv) if such Confidential Information was disclosed to either AJR or XC, as the case may be, by a source that was not bound, to the knowledge of the party receiving the Confidential Information, to a confidentiality obligation for the benefit of, or fiduciary relationship in favor of, the other party hereto. In furtherance of the confidentiality obligations set forth herein, AJR and XC will adopt and implement appropriate procedures intended to prevent the unauthorized disclosure of Confidential Information that it receives from the other party. The obligations of the parties pursuant to this Section 9 shall survive the expiration or termination of this Agreement.",Confidentiality,Low
CL01257,"Neither party will assign this Agreement or any rights hereunder without the prior written consent of the other party, which consent will not be unreasonably withheld. Notwithstanding the foregoing sentence, McDATA may assign this Agreement to any entity controlled by, controlling, or under common control with McDATA or to any successor by merger, divestiture, consolidation or reorganization, or to any purchasers of all or substantially all of the assets of the business of McDATA without consent of Reseller. (Page 4)",Assignment & Change of Control,Medium
CL01258,MBRK may terminate this Agreement upon 60 days notice for a Change of Control subject to the Fees outlined in paragraph (f) of this Section 18. (Page 14),Assignment & Change of Control,Medium
CL01259,"The Dolphins and Hydron agree that they shall not, either during the term of this Agreement or thereafter, directly or indirectly, contest the validity of the other's Marks or any of the registrations pertaining thereto, in the United States or elsewhere, nor adopt the other's Marks or any term, word, mark or designation which is in any aspect confusingly similar to the other's Marks. (Page 2) The Dolphins and Hydron further agree that they will not at any time do or cause to be done any act or thing, directly or indirectly, which contests or in any way impairs or tends to impair any part of the right, title and interest of the other in its Marks; and the Dolphins and Hydron shall not, in any manner, represent that it has any ownership interest in the other's Marks or the registrations therefor. (Page 2)",Dispute Resolution,Low
CL01260,"It is expressly agreed that the Agent shall not be liable for any loss, liability, claim, damage or expense or be required to contribute any amount pursuant to Section 9(b) or this Section 10 which in the aggregate exceeds the amount paid (excluding reimbursable expenses) to the Agent under this Agreement. (Page 30)",Liability,Medium
CL01261,"It is expressly agreed that the Agent shall not be liable for any loss, liability, claim, damage or expense or be required to contribute any amount which in the aggregate exceeds the amount paid (excluding reimbursable expenses) to the Agent under this Agreement. (Page 22)",Liability,Medium
CL01263,"Notwithstanding the aforesaid, either Party shall be entitled to assign, delegate, and/or subcontract its rights and obligation under this Agreement, in whole or in part, to one or more of its Affiliates on prior written notice to the other Party. (Page 17) For purposes of this Agreement, any merger, consolidation, or change of corporate structure following which there is a Change of Control of Kitov shall be considered as an assignment by Kitov, allowing Dexcel to terminate the Agreement as heretofore provided. (Page 17)",Assignment & Change of Control,Medium
CL01264,"Otis and Carrier, on behalf of themselves and the other members of, respectively, the Otis Group and the Carrier Group, agree and promise not to (a) challenge in any jurisdiction or venue the right or title of UTC or any other members of the UTC Group in and to any United Technologies Trademark, or the validity or enforceability of any United Technologies Trademark or any registration thereof, or (b) register or renew, attempt to register or renew, or assist a Person other than UTC or a member of the UTC Group in registering or renewing, any United Technologies Trademark. (Page 14)",Dispute Resolution,Low
CL01266,"In consideration of the licenses and other agreements set forth herein, Skype shall be entitled to receive 50% of all Adjusted Net Revenue, and the Company shall be entitled to receive 50% of all Adjusted Net Revenue (Page 15) Notwithstanding the foregoing, Online BVI shall be entitled to receive 50% of all Adjusted Net Revenue, in lieu of the Company‚Äôs right to be paid hereunder, in the event that (A) this Agreement remains in effect, (B) Online BVI assumes the obligations of the Company hereunder, and (C) (i) the Deed is terminated pursuant to the terms thereof, or (ii)) the Company is being or has been wound up, liquidated or dissolved. Unless otherwise mutually agreed by the Parties in writing, the Company and Online BVI shall provide for, or make available, the payment methods, fraud prevention mechanisms, and other services related to the receipt of payments in connection with SkypeOut, SkypeIn or Skype Plus services provided through the Company-Skype Branded Application or Company-Skype Branded Web Site (‚ÄúPayment Services‚Äù), in each case as shall be previously approved in writing by Skype, which approval may be withheld in its sole discretion. (Page 15) The respective Parties shall use their best efforts to accompany each respective Statement with payment, to Skype, if provided by the Company or Online BVI (or their associated third parties set forth above), or to the Company (or Online BVI, as applicable), if provided by Skype (or its associated third parties set forth above), as applicable, of 50% of the Adjusted Net Revenue shown on the respective Statements. (Page 15)",Payment,Low
CL01267,"Each Significant Subsidiary that is required to be organized or licensed as an insurance company in its jurisdiction of incorporation (each, an ‚ÄúInsurance Subsidiary‚Äù and collectively, the ‚ÄúInsurance Subsidiaries‚Äù) is licensed <omitted> as an insurance company in its respective jurisdiction of incorporation and is duly licensed or authorized as an insurer in each other jurisdiction where it is required to be so licensed or authorized to conduct its business, in each case with such exceptions as would not have, individually or in the aggregate, a Material Adverse Effect; except as otherwise described in the Disclosure Package, each Insurance Subsidiary has all other approvals, orders, consents, authorizations, licenses, certificates, permits, registrations and qualifications (collectively, the ‚ÄúApprovals‚Äù) of and from all insurance regulatory authorities to conduct its business, with such exceptions as would not have, individually or in the aggregate, a Material Adverse Effect; there is no pending or, to the knowledge of the Company, threatened action, suit, proceeding or investigation that could reasonably be expected to lead to any revocation, termination or suspension of any such Approval, the revocation, termination or suspension of which would have, individually or in the aggregate, a Material Adverse Effect; and, to the knowledge of the Company, no insurance regulatory agency or body has issued any order or decree impairing, restricting or prohibiting the payment of dividends by any Insurance Subsidiary to its parent which would have, individually or in the aggregate, a Material Adverse Effect. (Pages 12-13) Each Insurance Subsidiary is in compliance with and conducts its businesses in conformity with all applicable insurance laws and regulations of its respective jurisdiction of incorporation and the insurance laws and regulations of other jurisdictions which are applicable to it, in each case with such exceptions as would not have, individually or in the aggregate, a Material Adverse Effect. (Page 13)",Insurance,Low
CL01268,"if such rights comprise (i) analysis prepared for or on behalf of the Parties as participants in the Company-Skype Branded Application, or (ii) any intellectual property right co-developed by the Parties, or (iii) of any Support Information, or (iv) any data as specifically provided to Skype or the Online Group by Company-Skype Branded Customers (‚ÄúJoint Data‚Äù), other than that set forth in Sections 4.2.3.2.1 and 4.2.3.2.2 above and other than any Group Rights or Skype Rights, then such rights shall be jointly owned by the Parties, and may be exploited by any Party in accordance with this Agreement, and outside of this Agreement to the extent such exploitation would not, (x) in the case of Online BVI, violate or infringe upon the Skype Rights, (y) in the case of Skype, violate or infringe upon the Group Rights, or (z) in the case of the Company, violate or infringe upon the Group Rights or the Skype Rights. (Page 14)",Intellectual Property,Medium
CL01269,"‚ÄúMaximum Quantity‚Äù means [***] pounds of Terpene Product per Year, prorated for any partial Year included in the Term. (Page 1) FCC shall be obligated to accept all such purchase orders unless the amount ordered for a Year exceeds the Maximum Quantity, or orders for a particular quarter exceed [***] pounds or exceed the Flotek forecast for that quarter by more than 25%, provided, however, that, in such event, FCC shall communicate Flotek of the time period that will be required to satisfy such order assuming FCC endeavors to satisfy such order as soon as practicable, and Flotek shall inform FCC within ten (10) days of such communication whether it will order such Terpene Product pursuant to the revised delivery terms. (Page 2)",Payment,Low
CL01270,"Without prior written consent of the other Parties, none of the Parties may assign any or all of its rights and obligations under this Agreement to any third party. (Page 13)",Assignment & Change of Control,Medium
CL01271,"During the performance of the any of the collaborative efforts set forth in this Agreement, each of ARGO and YEC agrees not to engage in any attempt whatsoever to hire, or to engage as independent contractors, the other‚Äôs employees or independent contractors during the term of the collaboration and for a period of twelve (12) months following expiration or termination of the collaboration, except as may be mutually agreed in writing. (Page 5)",Non-Compete & Exclusivity,Medium
CL01272,The BSP then have the option to renew the agreement for another 5 years subject to any restructuring of the agreement as required by the parties. (Page 10),Renewal,Low
CL01273,This Agreement shall be governed by the laws of the State of Texas. (Page 5),Governing Law,Low
CL01274,"NOTWITHSTANDING ANYTHING TO THE CONTRARY IN THIS AGREEMENT, IN NO EVENT SHALL EITHER PARTY BE LIABLE TO THE OTHER PARTY OR ITS AFFILIATES, ANY SUCCESSORS IN INTEREST OR ANY BENEFICIARY OR ASSIGNEE OF THIS AGREEMENT FOR ANY CONSEQUENTIAL, MULTIPLE, INCIDENTAL, INDIRECT, SPECIAL, EXEMPLARY OR PUNITIVE DAMAGES, OR LOSS OF PROFITS OR REVENUES ARISING OUT OF OR RELATING TO THIS AGREEMENT OR ANY BREACH HEREOF; PROVIDED, HOWEVER, THE FOREGOING SHALL NOT BE CONSTRUED AS LIMITING AN OBLIGATION OF A PARTY HEREUNDER TO INDEMNIFY, DEFEND AND HOLD HARMLESS THE OTHER PARTY AGAINST CLAIMS ASSERTED BY UNAFFILIATED THIRD PARTIES, INCLUDING, BUT NOT LIMITED TO, THIRD PARTY CLAIMS FOR SPECIAL, INDIRECT, CONSEQUENTIAL, PUNITIVE OR EXEMPLARY DAMAGES. (Page 11)",Liability,Medium
CL01275,"Each of SMBC/Nikko and Moelis Holdings agrees not to solicit or hire any employee of the other party during the term of this Agreement and for a period of 12 months thereafter; provided, however, that the foregoing restriction shall not apply to general solicitations to the public that are not specifically directed to employees of other party (or employment of applicants to such solicitations). (Page 15)",Non-Compete & Exclusivity,Medium
CL01276,"No Party shall assign (whether absolutely or by way of security and whether in whole or in part), transfer, mortgage, charge or otherwise dispose in any manner whatsoever of the benefit of this Agreement or sub-contract or delegate in any manner whatsoever its performance under this Agreement. (Page 8)",Assignment & Change of Control,Medium
CL01277,"2.4 The Parties have agreed to enter into this confidentiality and non-disclosure agreement, in the absence of which neither party would have disclosed any of its confidential information to the other. 3. USE OF CONFIDENTIAL INFORMATION Any confidential information disclosed by a FP shall be received and used by the SP only for the limited purpose described in 2.1 above and for no other purpose.",Confidentiality,Low
CL01278,"This Agreement is subject to and governed by the laws of the State of Delaware, U.S.A. (without regard to conflict of law principles). (Page 34)",Governing Law,Low
CL01279,"At all times during the Term of this Agreement, Franchisee shall employ at least one (1) individual (the ""Restaurant Manager"") who is responsible for the direct, personal supervision of the Franchise d Restaurant . (Page 6) A representative of BKC who shall make not less than two (2) one day visits to Poland per annum to provide the Franchisee with any requested reasonable operations or marketing guidance and advice. (Page 9)",Payment,Low
CL01280,"The parties will ensure that marketing, promotional and selling plans promote the sale of the Natural Products in a manner that is consistent with this Agreement and complementary to Roundup Products, and does not directly or indirectly disparage or advertise against Roundup Products, as set forth in this Agreement. (Page 37) The Agent shall not use or facilitate the use of promotional materials which disparage Roundup Products or Industrial Property. (Page 43)",Dispute Resolution,Low
CL01281,"Under the terms and conditions of this Agreement, VOTOCAST hereby grants to Licensee a nonexclusive, nontransferable license, to access the Services and provide Licensee's users (""Licensee Users"") with access to the Services. (Page 1)",Intellectual Property,Medium
CL01283,"Without prejudice to either party's right to terminate this Agreement as set forth in sub​ sections 18.2 to 18.5 below, Cisco may, by written notice to Distributor, given at least thirty (30) days prior to the end of the then-current term of the Agreement, extend the term of the Agreement for the period set forth in such notice, up to a maximum of one (1) year beyond the then- current expiration date. (Page 9)",Renewal,Low
CL01284,"In¬†addition¬†to¬†the¬†License¬†Fee¬†payable¬†in¬†accordance¬†with¬†Section¬†5.1,¬†Licensee¬†shall¬†pay¬†a¬†royalty¬†(‚ÄúRoyalty‚Äù)¬†to¬†Licensor¬†according¬†to¬†the following¬†schedule¬†(‚ÄúRoyalty Schedule‚Äù): Subscribers Royalty Payable as Percentage of Gross Revenue 0 - 5000 6.25% 5001 - 7500 6.75% 7501 - 10,000 7.00% 10,001 - 15,000 8.00% 15,001 - 20,000 8.50% 20,001 - 25,000 9.25% 25,001+ 9.75% (Page 7)",Payment,Low
CL01286,"Licensee may not assign, transfer, pledge, mortgage or otherwise encumber this Agreement or its right to use the Brand (or assume this Agreement in bankruptcy), in whole or in part, without the prior written consent of Licensor in its sole discretion, except for an assignment outside of bankruptcy to a successor organization that is solely the result of a name change by Licensee. (Page 4)",Assignment & Change of Control,Medium
CL01287,"In the event that the Company desires to terminate the Agreement prior to the Termination Date, it shall provide AGI with at least 60 days prior written notice of its intention to terminate this Agreement and this Agreement shall so terminate following the expiration of this 60-day period, without any further responsibility by either Party except as provided in Section 5. (Page 2)",Termination,Low
CL01288,"After the initial period of two years, the maintenance and support contract shall be automatically renewed for a period of one year on each renewal date, unless one of the parties terminates the maintenance and support contract through written notification to the other party in the form of a registered letter with proof of receipt, at least six (6) weeks prior to the renewal date. (Page 8)",Renewal,Medium
CL01289,"Compelled Disclosure 6. If you or your Representatives are requested or required to disclose any Evaluation Material or any of the information referred to in paragraph 4 above under the heading “Non-Disclosure of Transaction Discussions” (or if the Company or its Representatives is requested or required to disclose that you are in discussions or negotiations with the Company concerning a possible Transaction) pursuant to any law or regulation or stock exchange rule or regulation or the terms of a valid and effective subpoena or order issued by a court of competent jurisdiction or a federal, state or local governmental or regulatory body or pursuant to a civil investigative demand or similar judicial process or otherwise, the applicable party will, to the extent not prohibited by applicable law or regulation, (i) promptly notify the other party of the existence, terms and circumstances surrounding such request or requirement, (ii) consult with the other party on the advisability of taking legally available steps to resist or narrow such request or requirement, (iii) if disclosure of any such information is required, disclose only that portion of the information which it is legally required to disclose and give the other party notice of the information to be so disclosed as far in advance of disclosure as may be reasonably practicable and (iv) except in the case of public disclosure with respect to any discussions or negotiations concerning a possible Transaction which is required by reason of securities laws or similar requirements related to general disclosure, if so requested by the other party, exercise its commercially reasonable efforts to obtain a protective order or other reliable assurance that confidential treatment will be accorded to such information (and, in any event, if applicable, such party will reasonably cooperate with the other party to obtain such a protective order or other assurance), such efforts to obtain a protective order or confidential treatment to be at the other (requesting) party’s expense.",Confidentiality,Low
CL01291,"This Agreement shall be governed by and interpreted under the laws of the State of Florida, USA,. (Page 5)",Governing Law,Low
CL01292,"This Agreement shall be governed by and construed in all respects in accordance with the laws of the State of New York, without giving effect to any conflicts of laws principles. (Page 10) The merits of the dispute shall be resolved in accordance with the laws of the State of New York, without reference to its choice of law rules. (Page 10)",Governing Law,Low
CL01293,"Except as expressly required under this Agreement, Vyera hereby covenants not to Develop, Manufacture, Commercialize or otherwise exploit a Competitive Product in the Territory during the Royalty Term, including by means of an Affiliate. (Page 13) CytoDyn shall have the right to terminate this Agreement in its entirety upon written notice to Vyera on the occurrence of any of the following: <omitted> (c) Vyera breaches its obligations or covenants under Section 2.6 (Competitive Products); (Page 32)",Non-Compete & Exclusivity,Medium
CL01295,"Non-Disclosure Agreement and (hereinafter referred to as ""Receiving Party"") SINTEC UK LIMITED Unit 23, Metro Centre Britannia Way London, NW10 7PA (hereinafter referred to as the ""SINTEC"") wish to strengthen their existing business relationship on future projects and tenders. In order to conduct this business relationship, SINTEC must provide the Receiving Party with commercial and/or technical information, specifically proprietary and confidential information, software, documentation, drawings, plans and/or objects or any other project/end user related information. To avoid any potential abuse of the information obtained, the Receiving Party hereby gives SINTEC an irrevocable undertaking as follows; and SINTEC hereby accepts said undertaking:",Confidentiality,Low
CL01296,"In the event the Company is unable to sell a minimum of 935,000 Shares within the period herein provided, this Agreement shall terminate, and the Company shall refund to any persons who have subscribed for any of the Shares, the full amount which it may have received from them plus accrued interest as set forth in the Offering Prospectus; and none of the parties to this Agreement shall have any obligation to the other parties hereunder, except as set forth in this Section 2 and in Sections 7, 9 and 10 hereof. (Page 2)",Payment,Low
CL01297,"THIS AGREEMENT, INCLUDING THE RIGHTS AND DUTIES OF THE PARTIES HERETO, SHALL BE GOVERNED BY, AND CONSTRUED IN ACCORDANCE WITH, THE INTERNAL LAWS OF THE STATE OF NEW YORK (INCLUDING SECTIONS 5-1401 AND 5-1402 OF THE GENERAL OBLIGATIONS LAW OF THE STATE OF NEW YORK, BUT WITHOUT REGARD TO ANY OTHERWISE APPLICABLE CONFLICTS OF LAW PRINCIPLES). (Page 49)",Governing Law,Low
CL01298,"CONFIDENTIALITY AND NON-DISCLOSURE AGREEMENT XCZONE.TV considers the details of its facilities, production techniques and methods proprietary and trade secrets. Furthermore, knowledge of in-house projects, business or marketing plans constitute confidential information. Any viewing of not publically released works or footage is subject to this non-disclosure agreement.",Confidentiality,Low
CL01299,Nothing in this Agreement shall require Manufacturer to provide more than 75 hours per calendar year per Product in connection with any Technical Support. (Page 30),Payment,Low
CL01300,"In the event that a Party solicits and then hires an employee of the other Party in violation of this Section 14.4 (Non-Solicit), the hiring Party shall, [***], within [***] ([***]) days of such hire, pay the other Party an amount equal to the [***] cash compensation actually paid to the individual <omitted> ([***]) by the non-hiring Party in the immediately prior calendar year and, further, if the individual solicited and then hired in violation of this is a Key Person under Section 5.4.1(b) (Dedicated FTEs; Key Persons), then BLI shall have [***] ([***]) months to identify an employee as the individual to replace such Key Person and any (a) [***] or (b) [***], in each case (a)-(b), to the extent due to the absence of such Key Person performing a Workflow Development Plan upon which the Key Person was engaged, shall be deemed waived for that [***] month period. (Pages 66-67)",Liability,Medium
CL01301,"Neither party may assign this Agreement, in whole or in part, without the other party's written consent (which will not be unreasonably withheld), except that no such consent will be required in connection with (i) a merger, reorganization or sale of all, or substantially all, of such party's assets or (ii) either party's assignment and/or delegation of its rights and responsibilities hereunder to a wholly-owned subsidiary or joint venture in which such party holds a controlling interest. (Page 9) Any attempt to assign this Agreement other than as permitted above will be null and void. (Page 9)",Assignment & Change of Control,Medium
CL01302,"NON-COMPETITION AND NON-DISCLOSURE AGREEMENT This NON-COMPETITION AND NON-DISCLOSURE AGREEMENT dated this 6th day of August, 2003 (this ""AGREEMENT""), is made and entered into by and between HARRISON S. TRASK (""PRINCIPAL""), PHOENIX FOOTWEAR GROUP, INC., a Delaware corporation (""PHOENIX FOOTWEAR""), and its wholly-owned subsidiary PFG ACQUISITION, INC., a Montana corporation (""PFG ACQUISITION"").",Confidentiality,Low
CL01303,"Upon the termination of this Agreement, the license granted in Section 6.11(c) above shall convert to a perpetual, non-exclusive, royalty-free, non-transferable and non-assignable license (without the right to sublicense, except as specifically set forth in Section 6.11(h) below) to use the Additional Roundup Products Formulation Data to make, sell and offer for sale, in the Included Markets for each such Additional Roundup Product, products comparable to such Additional Roundup Products, and to the limited extent necessary, to register such products with federal, state or territorial government authorities (as may be required by law) in the United States and its territories. (Page 38)",Intellectual Property,High
CL01304,"Upon termination of this Agreement, Schoolpop shall have the right to continue to sell any Cards in its possession for a period of three (3) months following the effective date of termination, subject to compliance with the applicable terms and conditions set forth herein, provided however, that termination of the Agreement is not due to a breach of representation or warranty of the Agreement by Schoolpop in which case Schoolpop shall discontinue selling Cards immediately upon termination. (Page 13)",Termination,Medium
CL01305,NON-DISCLOSURE AGREEMENT This agreement is made this 28th of March 2014 Between COMPANY NAME A (Registration Number) ADDRESS PROVINCE COUNTRY and COMPANY NAME B (Registration Number) ADDRESS PROVINCE COUNTRY Where as the parties here to wish to hold discussions concerning financial and Investment issues with regards to the project XXXXX (“the Field”) and may wish to disclose to one another confidential technical and business information relating to or relevant within the Field (“the Confidential Information”) and wish to ensure that the Confidential Information remains confidential.,Confidentiality,Low
CL01306,"FCE will assign, and hereby assigns, to ExxonMobil ownership of Program Results. (Page 8) For Program Patents, if one or more employees or other representatives of FCE are determined to be inventors, then FCE will: (i) cause its employees, contractors, and consultants to render reasonable and timely assistance to ExxonMobil and its attorneys or agents; (ii) assign, and will cause its and its Affiliates‚Äô employees, contractors, and consultants to assign, its right, title, and interest in and to such Program Patent to ExxonMobil for filing; and (iii) cause its and its Affiliate employees, contractors, and consultants, to execute any documents as may be required to effect such assignments, or file, prosecute, and maintain any patent applications or patents that are based on, derived from, or protect such Program Patent. (Page 8)",Intellectual Property,Medium
CL01307,"Each Party agrees to obtain and maintain, during the Term and for five (5) years after the Term, commercial general liability insurance, including products liability insurance, with minimum ‚ÄúA-‚Äù AM Best rated insurance carriers, in each case with limits of not less than five million dollars ($5,000,000) per occurrence and in the aggregate (Page 49) Pfizer and its Affiliates will be an additional insured on Exact‚Äôs commercial general liability and products liability policies, and be provided with a waiver of subrogation. (Page 49)",Insurance,Low
CL01308,"1. Confidential Information. As used herein, ""Confidential Information"" shall mean any and all oral and written proprietary information provided by one party (the ""Provider"") to the other (the ""Recipient""), including but not limited to financial documents, customer lists, development plans, business plans, trade secrets, and intellectual property. ""Confidential Information"" does not include information that (i) is generally available to the public on the date of this agreement, (ii) becomes generally available to the public other than as a result of a disclosure not otherwise permissible hereunder, (iii) was in the Recipient's possession prior to disclosure by the Provider, except to the extent that the Recipient received the information in violation of any requirement of confidentiality of which the Recipient was aware or reasonably should have been aware, or (iv) is made available to the Recipient lawfully and in good faith by a third party who Recipient reasonably believes is not under an obligation to keep such information confidential.",Confidentiality,Low
CL01310,"Without prejudice to Seller's other rights in law and contract, it is agreed that Buyer shall indemnify and hold harmless the Seller from and against any dead-freight, vessel and/or port charges and payments, demurrage and/or any damages, losses or expenses incurred as a result of any delay in loading or non-delivery of any product under this Agreement arising from Buyer's failure or delay in providing the letter of credit in accordance with the terms of this Agreement.",Indemnification,High
CL01311,"Upon the termination of this Agreement, the Sub-Advisor shall co-operate with Oaktree US and take all reasonable steps requested by Oaktree US in making an orderly transition to allow for continuity of management and to ensure that such termination shall not prejudice the completion of transactions already initiated. (Page 6)",Termination,Medium
CL01312,"During the term of this Agreement or any extension thereof, BNL shall have a non-exclusive license to use the VIP System on-line as designated by VIP. (Page 11)",Intellectual Property,Medium
CL01313,"In addition to any outstanding Guarantee payments which Licensee shall pay to Fox as set forth in Paragraph 3 of this Amendment below, Licensee shall pay to Fox a minimum recoupable guarantee of ***** dollars (US$*****) on or before ***** (‚ÄúICE AGE 2 Guarantee‚Äù), and ***** The omitted portions of this exhibit have been filed with the Securities and Exchange Commission pursuant to a request for confidential treatment under Rule 406 promulgated under the Securities Act of 1933. Source: GLU MOBILE INC, S-1/A, 3/19/2007 Fox shall earn, and Licensee shall pay the applicable Major Release Royalties as set forth in Paragraph 7(a)(i) of the Agreement in connection with the property ‚ÄúICE AGE 2‚Äù. (Pages 2-3) Furthermore, pursuant to Paragraph 2(c)(ii) of this Amendment, Licensee shall pay to Fox an additional minimum recoupable guarantee of ***** dollars (US$*****). (Page 4)",Payment,Low
CL01314,XFN may terminate this Agreement by giving thirty (30) days written notice to the CEIS. (Page 5),Termination,Low
CL01315,"1. Subject to the limitations set forth herein, “Confidential Information” means any and all confidential, proprietary or trade secret information of Disclosing Party (whether oral, written, electronic or otherwise), including but not limited to marketing and sales data, customer lists, customer requirements, price lists, product and service lists, market studies, financial statements, business plans, the names and backgrounds of key personnel, research and development, service methods, processes, improvements, devices, know-how, inventions, discoveries, concepts, ideas, designs, methods and information, and all related notes, analyses, compilations, studies, specifications, designs, plans, enhancements, data of Disclosing Party and any notes or other materials prepared by Receiving Party or any of its partners, directors, officers, employees, agents, contractors, affiliates, attorneys and other advisors or representatives (collectively, “Representatives”) that contain or are generated from such information.",Confidentiality,Low
CL01316,"1.04 ""TERRITORY"" shall mean the United States of America and Canada. ARTICLE II NON-COMPETITION AND NON-DISCLOSURE 2.01 SCOPE AND REASONABLENESS. Seller acknowledges that this Agreement (including without limitation the covenants and agreements set forth in this Article II) is being entered into as an important part of the consideration received by Purchasers and Parent in connection with the acquisition of the Assets. Seller also acknowledges that Purchasers and Parent have a reasonable present and future expectation of continuing the Business within the Territory.",Confidentiality,Low
CL01317,"During the term of this agreement, Distributor shall not market, sell advertise or promote the sale or use of any product or device which is competitive with or substantially similar to the Products, without the prior express written consent of Erchonia, nor shall they assist any third party in doing so. (Page 2)",Non-Compete & Exclusivity,Medium
CL01318,"3. Use of Confidential Information for Evaluation; Disclosure. Neither the Receiving Party nor any of its Representatives shall use the Confidential Information for any purpose, other than evaluation of the Possible Transaction. Each Party hereby acknowledges that it is aware, and that it will advise its Representatives who are informed as to the matters which are the subject of this Agreement, that United States securities laws prohibit any person who has received from an issuer material, non-public information concerning the matters which are the subject of this Agreement from purchasing or selling securities of such issuer or from communicating such information to any other person under circumstances in which it is reasonably foreseeable that such person is likely to purchase or sell such securities. The restrictions on disclosure and use of Confidential Information in this Agreement shall extend until the earlier of (a) the expiration of the period set forth in Section 14 of this Agreement, (b) the Parties’ entry into a separate, subsequent agreement that contains confidentiality and non-disclosure provisions that supersede this Agreement with respect to the Confidential Information, and (c) such time, if ever, the Confidential Information becomes publicly available (otherwise than through a breach of this Agreement). Except to the extent the Receiving Party’s legal counsel advises the Receiving Party that disclosure is required by applicable law or regulatory authority, without the prior written consent of the Disclosing Party, the Receiving Party will not, and will direct the Receiving Party’s Representatives not to, disclose to any other Person that such Confidential Information has been requested or made available, that discussions or negotiations are taking place concerning the Possible Transaction, or any of the terms, conditions or other facts with respect to the Possible Transaction, including the status thereof, or the term of this Agreement.",Confidentiality,Low
CL01319,"Provider may not assign, delegate or otherwise transfer either this Agreement or any of its rights, interests, or obligations hereunder without the prior written approval of Recipient. (Page 7)",Assignment & Change of Control,Medium
CL01322,"Notwithstanding the foregoing, either party shall have the right to assign this Agreement in connection with the merger or acquisition of such party or the sale of all or substantially all of its assets related to this Agreement without such consent, except in the case where such transaction involves a direct competitor of the other party where consent of the other party will be required. (Page 9)",Assignment & Change of Control,Medium
CL01323,"4.3 The Receiving Party shall not disclose the Disclosing Party's Confidential Information to any unauthorized party without the Disclosing Party's prior express written consent or unless required by court order or order of a similar governmental entity. If a Party is required by court order or order of a similar governmental entity to disclose the other's Confidential Information, they shall give the other Party prompt notice of such requirement so that an appropriate protective order or other relief may be sought.",Confidentiality,Low
